Stock-ticker,Company Name,Sector,Mkt Cap,Added
ETN,Eaton,Electrical Equipment,68.13B,No
ETR,Entergy,Electric Utilities,22.32B,No
ETSY,"Etsy, Inc.",Internet & Direct Marketing Retail,20.75B,No
EVRG,Evergy,Electric Utilities,15.10B,No
EW,Edwards Lifesciences,Health Care Equipment & Supplies,73.83B,No
EWBC,East West Bancorp,Banks,12.84B,No
EXAS,Exact Sciences,Biotechnology,13.62B,No
EXC,Exelon,Electric Utilities,55.02B,No
EXPD,Expeditors International of Washington,Air Freight & Logistics,20.61B,No
EXPE,Expedia Group,Internet & Direct Marketing Retail,27.94B,No
EXR,Extra Space Storage,Equity Real Estate Investment Trusts...,27.26B,No
F,Ford Motor Company,Automobiles,100.67B,No
FAF,First American Financial,Insurance,8.73B,No
FANG,Diamondback Energy,"Oil, Gas & Consumable Fuels",23.41B,No
FAST,Fastenal Company,Trading Companies & Distributors,34.05B,No
FB,Meta Platforms,Interactive Media & Services,923.27B,No
FBHS,Fortune Brands Home & Security,Building Products,13.77B,No
FCNCA,First Citizens BancShares,Banks,14.33B,No
FCX,Freeport-McMoRan,Metals & Mining,64.73B,No
FDS,FactSet Research Systems,Capital Markets,16.14B,No
FDX,FedEx,Air Freight & Logistics,67.89B,No
FE,FirstEnergy,Electric Utilities,23.70B,No
FERG,Ferguson,Industrial Distribution,37.95B,No
FFIV,F5 Networks,Communications Equipment,14.46B,No
FHN,First Horizon,Banks,10.07B,No
FICO,Fair Isaac,Software,11.94B,No
FIS,Fidelity National Information Services,IT Services,71.88B,No
FISV,Fiserv,IT Services,72.04B,No
FITB,Fifth Third Bancorp,Banks,34.43B,No
FIVE,Five Below,Specialty Retail,9.71B,No
FIVN,Five9,Software,8.73B,No
FLEX,Flex Ltd.,"Electronic Equipment, Instruments & C...",8.60B,No
FLT,FleetCor Technologies,IT Services,19.81B,No
FMC,FMC Corporation,Chemicals,14.46B,No
FMS,Fresenius Medical Care AG & Co.,Health Care Providers & Services,19.81B,No
FMX,Fomento Economico Mexicano,Beverages,29.64B,No
FND,Floor & Decor Holdings,Specialty Retail,11.15B,No
FNF,Fidelity National Financial,Insurance,15.90B,No
FNV,Franco-Nevada,Metals & Mining,24.95B,No
FOX,Fox Corporation,Media,22.54B,No
FOXA,Fox Corporation,Media,22.54B,No
FRC,First Republic Bank,Banks,34.43B,No
FRT,Federal Realty Investment Trust,Equity Real Estate Investment Trusts...,10.34B,No
FSLR,First Solar,Semiconductors & Semiconductor Equipment,8.83B,No
FTCH,Farfetch,Internet & Direct Marketing Retail,10.09B,No
FTNT,Fortinet,Software,51.10B,No
FTS,Fortis,Electric Utilities,22.26B,No
FTV,Fortive,Machinery,26.00B,No
FWONA,Liberty Media Formula One Group,Entertainment,14.41B,No
G,Genpact,IT Services,9.68B,No
GD,General Dynamics,Aerospace & Defense,59.50B,No
GDDY,GoDaddy,IT Services,12.76B,No
GDRX,GoodRx Holdings,Health Care Technology,10.71B,No
GE,General Electric Company,Industrial Conglomerates,113.28B,No
GFI,Gold Fields,Metals & Mining,9.44B,No
GFL,GFL Environmental,Waste Management,11.38B,No
GFS,GlobalFoundries,Semiconductors,31.70B,No
GGB,Gerdau,Metals & Mining,8.72B,No
GGG,Graco,Machinery,12.80B,No
GIB,"CGI, Inc.",IT Services,20.95B,No
GILD,Gilead Sciences,Biotechnology,90.03B,No
GIS,General Mills,Food Products,42.16B,No
GL,Globe Life,Insurance,10.70B,No
GLOB,Globant,Software,10.41B,No
GLPI,Gaming & Leisure Properties,Equity Real Estate Investment Trusts...,11.04B,No
GLW,Corning,"Electronic Equipment, Instruments & C...",31.65B,No
GM,General Motors Company,Automobiles,88.71B,No
GMAB,Genmab,Biotechnology,23.35B,No
GME,GameStop,Specialty Retail,8.91B,No
GNRC,Generac Holdings,Electrical Equipment,19.32B,No
GNTX,Gentex,Auto Components,8.43B,No
GOLD,Barrick Gold,Metals & Mining,33.34B,No
GOOG,Alphabet,Interactive Media & Services,"1,853.59B",No
GOOGL,Alphabet,Interactive Media & Services,"1,853.59B",No
GPC,Genuine Parts Company,Distributors,19.67B,No
GPN,Global Payments,IT Services,43.68B,No
GRAB,Grab Holdings,Asset Management,22.60B,No
GRFS,Grifols,Biotechnology,11.54B,No
